Country,Year,Millions
Tuvalu,2023,62.28
Nauru,2023,154.13
Palau,2023,263.02
Kiribati,2023,279.03
Marshall Islands,2023,284
"Micronesia, Fed. Sts.",2023,460
Tonga,2022,500.27
Sao Tome and Principe,2023,603.24
St. Martin (French part),2021,649.21
Dominica,2023,653.99
Northern Mariana Islands,2020,858
American Samoa,2022,871
Samoa,2023,934.1
St. Vincent and the Grenadines,2023,"1,065.96"
St. Kitts and Nevis,2023,"1,077.03"
Vanuatu,2023,"1,126.31"
Grenada,2023,"1,320.33"
Comoros,2023,"1,352.38"
Turks and Caicos Islands,2023,1402.05
Sint Maarten (Dutch part),2023,1623.17
Solomon Islands,2023,1631.29
San Marino,2021,1855.38
Guinea-Bissau,2023,1966.46
Antigua and Barbuda,2023,2033.09
Lesotho,2023,2046.04
Eritrea,2011,2065
Seychelles,2023,2141.45
Timor-Leste,2023,2243.14
"Gambia, The",2023,2339.9
St. Lucia,2023,2519.93
Central African Republic,2023,2555.49
Cabo Verde,2023,2587.25
Burundi,2023,2642.16
Bhutan,2022,2898.23
Curacao,2022,3073.84
Greenland,2021,3235.81
Belize,2023,3281.5
Aruba,2022,3544.71
Faroe Islands,2022,3555.93
Andorra,2023,3727.67
Suriname,2023,3782.44
Sierra Leone,2023,3809.83
Djibouti,2023,4098.53
Liberia,2023,4332
Virgin Islands (U.S.),2021,4444
Eswatini,2023,4597.86
Fiji,2023,5494.8
French Polynesia,2022,5814.66
Barbados,2023,6393.56
Maldives,2023,6600
Cayman Islands,2022,6600.84
Guam,2022,6910
Liechtenstein,2022,7364.65
Montenegro,2023,7404.54
Bermuda,2022,7827.98
Isle of Man,2021,7931.19
Monaco,2022,8784
Syrian Arab Republic,2021,8980.06
Togo,2023,9171.26
New Caledonia,2022,9623.32
Kosovo,2023,10438.35
Mauritania,2023,10452.58
Channel Islands,2022,11228.32
Somalia,2023,11679.8
South Sudan,2015,11997.8
Tajikistan,2023,12060.6
Equatorial Guinea,2023,12116.92
Namibia,2023,12351.02
Chad,2023,13149.33
Kyrgyz Republic,2023,13987.63
Malawi,2023,14084.34
Rwanda,2023,14097.77
"Bahamas, The",2023,14338.5
Mauritius,2023,14397.13
Afghanistan,2022,14502.16
North Macedonia,2023,14761.24
Brunei Darussalam,2023,15128.29
"Congo, Rep.",2023,15321.06
Lao PDR,2023,15843.16
Madagascar,2023,16031.7
Moldova,2023,16539.44
Guyana,2023,16786.3
Niger,2023,16819.17
West Bank and Gaza,2023,17396.3
Nicaragua,2023,17829.22
Botswana,2023,19395.77
Jamaica,2023,19423.36
Benin,2023,19673.28
Haiti,2023,19850.83
Mongolia,2023,19872.18
Burkina Faso,2023,20324.62
Gabon,2023,20516.13
Mozambique,2023,20624.6
Mali,2023,20904.9
Malta,2023,20957
Lebanon,2022,20992.42
"Yemen, Rep.",2018,21606.16
Albania,2023,22977.68
Guinea,2023,23612.3
Armenia,2023,24212.13
Zimbabwe,2023,26538.27
Bosnia and Herzegovina,2023,27054.89
Trinidad and Tobago,2023,28139.94
Zambia,2023,28162.63
Georgia,2023,30535.53
Papua New Guinea,2023,30932.5
Senegal,2023,31013.99
Iceland,2023,31020.03
Cambodia,2023,31772.76
Cyprus,2023,32229.62
El Salvador,2023,34015.62
Honduras,2023,34400.51
Estonia,2023,40744.85
Nepal,2023,40908.07
Paraguay,2023,42956.26
Bahrain,2023,43205
Latvia,2023,43627.08
Bolivia,2023,45849.83
"Macao SAR, China",2023,47061.84
Cameroon,2023,47945.51
Tunisia,2023,48529.6
Uganda,2023,49272.88
Libya,2023,50491.72
Jordan,2023,50813.64
Turkmenistan,2023,59887.33
Myanmar,2023,64815.03
"Congo, Dem. Rep.",2023,66383.29
Slovenia,2023,68216.78
Belarus,2023,71857.38
Azerbaijan,2023,72356.18
Serbia,2023,75187.13
Ghana,2023,76370.39
Uruguay,2023,77240.83
Lithuania,2023,77836.4
Cote d'Ivoire,2023,78788.83
Tanzania,2023,79158.29
Croatia,2023,82688.84
Panama,2023,83382.4
Sri Lanka,2023,84356.86
Angola,2023,84722.96
Luxembourg,2023,85755.01
Costa Rica,2023,86497.94
Uzbekistan,2023,90889.15
Bulgaria,2023,101584.38
Guatemala,2023,102050.47
Cuba,2020,107351.8
Kenya,2023,107440.58
Oman,2023,108192.46
Sudan,2023,109327.02
Puerto Rico,2023,117902.3
Ecuador,2023,118844.83
Dominican Republic,2023,121444.28
Slovak Republic,2023,132793.62
Morocco,2023,141109.37
Kuwait,2023,161772.22
Ethiopia,2023,163697.93
Ukraine,2023,178757.02
Hungary,2023,212388.91
Qatar,2022,235770.4
Greece,2023,238206.31
Algeria,2023,239899.49
Iraq,2023,250842.78
New Zealand,2023,253465.7
Kazakhstan,2023,261421.12
Peru,2023,267603.25
Portugal,2023,287080.01
Finland,2023,300187.2
Czechia,2023,330858.34
Chile,2023,335533.33
Pakistan,2023,338368.46
Romania,2023,351002.58
Nigeria,2023,362814.95
Colombia,2023,363540.16
South Africa,2023,377781.6
"Hong Kong SAR, China",2023,382054.57
"Egypt, Arab Rep.",2023,395926.08
Malaysia,2023,399648.83
"Iran, Islamic Rep.",2023,401504.51
Denmark,2023,404198.76
Viet Nam,2023,429716.97
Philippines,2023,437146.37
Bangladesh,2023,437415.33
"Venezuela, RB",2014,482359.32
Norway,2023,485513.32
Singapore,2023,501427.5
United Arab Emirates,2023,504173.45
Israel,2023,509901.5
Thailand,2023,514944.99
Austria,2023,516034.14
Ireland,2023,545629.45
Sweden,2023,593267.7
Belgium,2023,632216.58
Argentina,2023,640591.41
Poland,2023,811229.1
Switzerland,2023,884940.4
Saudi Arabia,2023,1067582.93
Turkey,2023,1108022.37
Netherlands,2023,1118124.75
Indonesia,2023,1371171.15
Spain,2023,1580694.71
"Korea, Rep.",2023,1712792.85
Australia,2023,1723827.22
Mexico,2023,1788886.82
Russian Federation,2023,2021421.48
Canada,2023,2140085.57
Brazil,2023,2173665.66
Italy,2023,2254851.21
France,2023,3030904.09
United Kingdom,2023,3340032.38
India,2023,3549918.92
Japan,2023,4212945.16
Germany,2023,4456081.02
China,2023,17794781.99
United States,2023,27360989.01
European Union,2023,16940615.98
